Video ID,Title,Channel,Upload Date,Views,Likes,Comments,Duration (min),Has Subtitles?,Subtitle Languages,Highest Quality,URL
oXpJzbXnB4A,How important is programming and machine learning for a Data Analyst?,codebasics,20200905,30706,1079,75,4.0,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=oXpJzbXnB4A
2osIZ-dSPGE,"Precision, Recall, F1 score, True Positive|Deep Learning Tutorial 19 (Tensorflow2.0, Keras & Python)",codebasics,20200908,315165,7228,271,11.75,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=2osIZ-dSPGE
MSBY28IJ47U,"Customer churn prediction using ANN | Deep Learning Tutorial 18 (Tensorflow2.0, Keras & Python)",codebasics,20200907,239763,4349,226,40.68,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=MSBY28IJ47U
E_IQ3mzZyrw,8 Skills to get a data analyst job | Skills to become successful data analyst,codebasics,20200902,642867,22304,736,8.75,Yes,"en, live_chat",3840x2160,https://www.youtube.com/watch?v=E_IQ3mzZyrw
9SdLOcGnebU,"Tensorboard Introduction | Deep Learning Tutorial 16 (Tensorflow2.0, Keras & Python)",codebasics,20200829,113106,2371,72,14.93,Yes,live_chat,1920x1080,https://www.youtube.com/watch?v=9SdLOcGnebU
YmDaqXMIoeY,"GPU bench-marking with image classification | Deep Learning Tutorial 17 (Tensorflow2.0, Python)",codebasics,20200831,95176,2069,122,23.97,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=YmDaqXMIoeY
JCGbRDL7F10,Data Science In Biology | How a biologist became a data scientist,codebasics,20200830,15178,453,40,46.0,Yes,live_chat,1280x720,https://www.youtube.com/watch?v=JCGbRDL7F10
K_oJLQx2ySY,How to pass a coding interview |Interview tips for software developer |Cracking the coding interview,codebasics,20200826,103377,3079,121,20.57,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=K_oJLQx2ySY
5ogmEkujoqE,"Chain Rule | Deep Learning Tutorial 15 (Tensorflow2.0, Keras & Python)",codebasics,20200824,104874,3601,116,14.08,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=5ogmEkujoqE
K5Ek0Y8ji0E,"Interview with a siemens data scientist, TEDx speaker | Vijay Pravin Maharajan",codebasics,20200823,6889,242,25,33.95,Yes,live_chat,1280x720,https://www.youtube.com/watch?v=K5Ek0Y8ji0E
j0IYCyBdzfA,Graph Introduction - Data Structures & Algorithms Tutorials In Python #12,codebasics,20200822,218635,3708,190,32.45,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=j0IYCyBdzfA
5QhqkZxf1js,Building 3500$ Deep Learning Workstation | Deep Learning PC build From Scratch,codebasics,20200820,34682,740,85,6.38,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=5QhqkZxf1js
IU5fuoYBTAM,Stochastic Gradient Descent vs Batch Gradient Descent vs Mini Batch Gradient Descent |DL Tutorial 14,codebasics,20200818,209516,5011,278,36.78,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=IU5fuoYBTAM
PQCE9ChuIDY,"Implement Neural Network In Python | Deep Learning Tutorial 13 (Tensorflow2.0, Keras & Python)",codebasics,20200815,133285,2320,87,13.38,Yes,live_chat,3840x2160,https://www.youtube.com/watch?v=PQCE9ChuIDY
